I1202 18:39:00.413402 140568791459648 policy_loader.py:78] Loading policy from /data1/yrli/tmp/offlinerl/policies/Hopper-v2/sac/1/agent_partial_target...
I1202 18:39:00.419009 140568791459648 collect_data.py:133] Testing policy p1_ours_gaussian...
I1202 18:39:18.930078 140568791459648 collect_data.py:137] Return mean 2048, std 658.8.
I1202 18:39:18.930280 140568791459648 collect_data.py:138] Collecting data from policy p1_ours_gaussian...
I1202 19:01:49.110231 140568791459648 collect_data.py:98] (120000/500000) steps collected at 486.1 steps/s.
I1202 19:02:09.641424 140568791459648 collect_data.py:98] (130000/500000) steps collected at 487.1 steps/s.
I1202 19:02:34.852276 140568791459648 collect_data.py:98] (140000/500000) steps collected at 396.7 steps/s.
I1202 19:02:55.462674 140568791459648 collect_data.py:98] (150000/500000) steps collected at 485.2 steps/s.
I1202 19:03:16.036489 140568791459648 collect_data.py:98] (160000/500000) steps collected at 486.1 steps/s.
I1202 19:03:37.055793 140568791459648 collect_data.py:98] (170000/500000) steps collected at 475.8 steps/s.
I1202 19:03:58.733210 140568791459648 collect_data.py:98] (180000/500000) steps collected at 461.3 steps/s.
I1202 19:04:21.023241 140568791459648 collect_data.py:98] (190000/500000) steps collected at 448.6 steps/s.
I1202 19:04:42.713105 140568791459648 collect_data.py:98] (200000/500000) steps collected at 461 steps/s.
I1202 19:05:03.656351 140568791459648 collect_data.py:98] (210000/500000) steps collected at 477.5 steps/s.
I1202 19:05:25.585075 140568791459648 collect_data.py:98] (220000/500000) steps collected at 456 steps/s.
I1202 19:05:47.917040 140568791459648 collect_data.py:98] (230000/500000) steps collected at 447.8 steps/s.
I1202 19:06:11.904233 140568791459648 collect_data.py:98] (240000/500000) steps collected at 416.9 steps/s.
I1202 19:06:34.439279 140568791459648 collect_data.py:98] (250000/500000) steps collected at 443.8 steps/s.
I1202 19:06:55.646760 140568791459648 collect_data.py:98] (260000/500000) steps collected at 471.5 steps/s.
I1202 19:07:17.064320 140568791459648 collect_data.py:98] (270000/500000) steps collected at 466.9 steps/s.
I1202 19:07:39.309563 140568791459648 collect_data.py:98] (280000/500000) steps collected at 449.5 steps/s.
I1202 19:08:01.859844 140568791459648 collect_data.py:98] (290000/500000) steps collected at 443.5 steps/s.
I1202 19:08:28.956300 140568791459648 collect_data.py:98] (300000/500000) steps collected at 369.1 steps/s.
I1202 19:08:51.424214 140568791459648 collect_data.py:98] (310000/500000) steps collected at 445.1 steps/s.
I1202 19:09:13.679949 140568791459648 collect_data.py:98] (320000/500000) steps collected at 449.3 steps/s.
I1202 19:09:34.027525 140568791459648 collect_data.py:98] (330000/500000) steps collected at 491.5 steps/s.
I1202 19:09:56.205915 140568791459648 collect_data.py:98] (340000/500000) steps collected at 450.9 steps/s.
I1202 19:10:17.409954 140568791459648 collect_data.py:98] (350000/500000) steps collected at 471.6 steps/s.
I1202 19:10:38.292156 140568791459648 collect_data.py:98] (360000/500000) steps collected at 478.9 steps/s.
I1202 19:11:00.703364 140568791459648 collect_data.py:98] (370000/500000) steps collected at 446.2 steps/s.
I1202 19:11:21.236727 140568791459648 collect_data.py:98] (380000/500000) steps collected at 487 steps/s.
I1202 19:11:41.321088 140568791459648 collect_data.py:98] (390000/500000) steps collected at 497.9 steps/s.
I1202 19:12:01.745597 140568791459648 collect_data.py:98] (400000/500000) steps collected at 489.6 steps/s.
I1202 19:12:22.416969 140568791459648 collect_data.py:98] (410000/500000) steps collected at 483.8 steps/s.
I1202 19:12:43.279520 140568791459648 collect_data.py:98] (420000/500000) steps collected at 479.3 steps/s.
I1202 19:13:03.702096 140568791459648 collect_data.py:98] (430000/500000) steps collected at 489.7 steps/s.
I1202 19:13:24.791187 140568791459648 collect_data.py:98] (440000/500000) steps collected at 474.2 steps/s.
I1202 19:13:46.766940 140568791459648 collect_data.py:98] (450000/500000) steps collected at 455 steps/s.
I1202 19:14:09.652666 140568791459648 collect_data.py:98] (460000/500000) steps collected at 437 steps/s.
I1202 19:14:32.214259 140568791459648 collect_data.py:98] (470000/500000) steps collected at 443.2 steps/s.
I1202 19:14:54.802342 140568791459648 collect_data.py:98] (480000/500000) steps collected at 442.7 steps/s.
I1202 19:15:17.437698 140568791459648 collect_data.py:98] (490000/500000) steps collected at 441.8 steps/s.
I1202 19:15:40.294257 140568791459648 collect_data.py:98] (500000/500000) steps collected at 437.5 steps/s.
I1202 19:15:41.009601 140568791459648 collect_data.py:147] Finished: 1000000 transitions collected, saved at /data1/yrli/tmp/offlinerl/data/Hopper-v2/gaussian_two_policies1/1/data, time cost 2201s.
action_shape: [3]
